id,category,item,qty,requirement,candidate_1,candidate_2,candidate_3,key_spec,approx_price,price_basis,source_urls,verified,notes
P11,Capillary holder,"Commercial pipette holder with side port (reference/spare, 1.0-2.0 mm)",1-3,"side/axial port for liquid, sizes 1.0/1.5/2.0","WPI MPH series (MPH3, MPH4, MPH6S) - supplied for 1.0/1.2/1.5/2.0 mm OD glass; pressure-injection type, no half-cell","Warner Q-series with port: QSW-A15P (1.5 mm) / QSW-T20P (2.0 mm) (straight, side port)",Narishige HI-7 (oil) / HI-9 (air) injection holder - 1.0 mm OD only,O-ring/gasket clamping (friction-only; rejected as primary fixation in doc 03),not found,-,https://www.wpiinc.com/var-3781-microelectrode-holder-mph6s ; https://wpiinc.com/products/var-3819-microelectrode-holder-mph3 ; https://www.warneronline.com/q-series-holders-for-Warner-and-some-early-axon ; https://www.harvardapparatus.com/media/brochures/Warner_Microelectrode_Holders.pdf ; https://products.narishige-group.com/group1/HI-7/injection/english.html ; https://products.narishige-group.com/group1/HI-9/injection/english.html,PNs seen in excerpts; port thread / tubing interface UNVERIFIED,Useful for early pick tests before the custom collet exists. Narishige is Japanese (short lead time) but 1.0 mm only. Warner Q holders contain wire/pin for electrophysiology - unneeded but harmless.
P12,Mechanical,Kinematic magnetic break-away mount (Z carriage <-> arm),1 (+1 spare top plate),repeatable re-seat; releases on collision; holds ~0.1-0.2 kg arm+holder,"Thorlabs KB25/M (25 x 25 mm, magnetic, ball/V-groove); top KBT25/M, bottom KBB25/M",Thorlabs KB50/M (50 x 50 mm; higher holding force),Custom: 3 balls + 3 V-grooves/rods + NdFeB magnets integrated in Z bracket (meviy CNC) - tunable break-away force,"KB25/M: holding force 3.6 lbf (~16 N); angular repeatability mean ~6 urad; KB50/M: 6.25 lbf (~28 N), mean ~12 urad",KB25/M USD 75.60; KBT25/M or KBB25/M USD 39.90 each,approx; USD Thorlabs list,https://www.thorlabs.com/item/KB25_M ; https://www.thorlabs.com/thorproduct.cfm?partnumber=KB50/M ; https://www.thorlabs.com/kinematic-bases2,verified (Thorlabs + reseller excerpts),"Lean KB25/M: small, magnet force appropriate for a 0.3 kg Z group; Thorlabs Japan stocks. Check that break-away torque at the tip (115 mm lever) is low enough to protect the plate/capillary and high enough not to release during 10 um/s landing."
P13,Mechanical,Exchangeable angle blocks 8 / 20 / 30 deg,3,two dowels + clamp screw; tip within +-1 mm nominal,"Custom CNC (MISUMI meviy CNC milling, upload 3D CAD for instant quote)","Local machine shop (A5052/A2017, anodised)",3D-printed prototypes (SLA) for first fit only,"engraved angle; dowel-pin location (MISUMI dowel pins, series)",not found (meviy instant quote),-,https://cdn.meviy.misumi-ec.com/en_us-us/ ; https://www.misumi.co.jp/english/news/press_240708,n/a (custom),Can be ordered together with P14-P16 in one meviy batch.
P14,Mechanical,"Dog-leg arm (115 mm, 12x12 thin section)",1 (+1 spare),"stiff, thin; tubing clip groove on side",Custom CNC via MISUMI meviy (A7075 or SUS304),Local machine shop,-,static sag absorbed by image calibration,not found,-,https://cdn.meviy.misumi-ec.com/en_us-us/,n/a (custom),"Material choice: A7075 for mass, SUS for stiffness; decide after deflection check."
P15,Mechanical,"Carriage brackets (X carriage->Z body, Y carriage->X beam), tubing clamps",set,match actuator table hole patterns,Custom CNC via MISUMI meviy,MISUMI LX26 attachment jig / standard brackets where they fit,Local machine shop,-,not found,-,https://us.misumi-ec.com/vona2/detail/110302392540/ ; https://cdn.meviy.misumi-ec.com/en_us-us/,n/a (custom),Freeze only after actuator PNs are chosen (hole patterns).
P16,Frame,"Base plate, 15 mm aluminium, slotted for table grid",1,"M6/25 mm (or 1/4-20/1"") slots, +-15 mm X/Y, +-2 deg yaw","MISUMI meviy CNC milling (plate with slots, A5052)",MISUMI configurable aluminium plate (series; configure holes/slots),Thorlabs breadboard / MB-series plate as off-the-shelf alternative (series; unverified fit),flatness and slot pattern,not found (instant quote on meviy),-,https://cdn.meviy.misumi-ec.com/en_us-us/ ; https://www.misumi.co.jp/english/news/press_250512_3,n/a (custom),Size depends on M15 (free table space right of IX73).
P17,Frame,"Posts, aluminium extrusion 80x80",2,"80x80, 8-series; length per M1 (stage height) + adjustment slots","MISUMI HFS8-8080 (cut to length, 50-4000 mm)",MISUMI 80x80 8-series base-40 variants (one closed side / milled surfaces),Local equivalents (e.g. SUS GF / NIC 8-series 80x80; unverified),"HFS8-8080: 4.57 kg/m, section 1691 mm2",USD 43.60/m (>=300 mm); USD 13.00 each (<300 mm),approx; USD MISUMI US,https://us.misumi-ec.com/pdf/fa/2010/p2319.pdf ; https://us.misumi-ec.com/vona2/detail/110302690740/,"price/spec: excerpt, one source",Order with end-tapping and milled ends for squareness.
P18,Frame,"Y beam, aluminium extrusion 80x80, ~390 mm",1,twice-supported; flat mounting face for Y actuator,MISUMI HFS8-8080 (L~390),MISUMI 80x80 extrusion with milled surfaces (8 series),-,see P17,~USD 17 (0.39 m x USD 43.60/m),approx; USD derived,https://us.misumi-ec.com/vona2/detail/110302691870/ ; https://us.misumi-ec.com/vona2/detail/110302690740/,derived,Milled-surface variant preferred for the actuator mounting face.
P19,Frame,"X support beam, aluminium extrusion 40x80 (cantilever)",1,40x80 minimum; length ~X body,MISUMI HFS8-4080,MISUMI 40x80 8-series base-40,-,8-series 40x80,not found,-,https://us.misumi-ec.com/vona2/detail/110302690310/,"partial (PN family seen, price not)",Consider 80x80 if deflection check fails.
P20,Frame,"Extrusion fasteners: brackets, post-assembly nuts, diagonal braces, jack screw",set,8-series slot; +-20 mm height adjust,MISUMI HFS8 brackets and post-insertion nuts (series; configure),MISUMI diagonal/angle brackets (series),-,-,not found,-,https://it.misumi-ec.com/files/images/products/docs/nutsforaluminiumextrusions.pdf,n/a,Exact PNs to be picked once CAD frame is frozen.
P21,Consumable,Glass capillaries class S: OD 1.0 / ID 0.58,1 pack,"borosilicate, no filament","WPI 1B100-4 (1.0/0.58, 4 in)","Narishige G-1 (1.0/0.6, 90 mm, 500/pk; Japanese supplier)",Sutter B100-58-10 (series pattern; unverified PN),OD 1.0 mm,not found,-,https://www.wpiinc.com/clientuploads/pdf/catalog/pages/capillaryglass.pdf ; https://products.narishige-group.com/group1/G-1_1.2_1.5_2_3/pipette/english.html ; https://www.tritechresearch.com/G-1.html,WPI: manifest S14; Narishige: excerpt,Narishige G-1 ID 0.6 is equivalent for picking.
P22,Consumable,Glass capillaries class M: OD 1.5 / ID 0.84-0.86,1 pack,"borosilicate, no filament",WPI 1B150-4 (1.5/0.84),"Sutter B150-86-10 (1.5/0.86, 10 cm)",Narishige G-1.5 (series; ID unverified),OD 1.5 mm,not found,-,https://www.wpiinc.com/clientuploads/pdf/catalog/pages/capillaryglass.pdf ; https://www.autom8.com/shop/micropipette-fabrication/glass/borosilicate-glass1-5-x-0-86mm-x-10cm-250-pcs/ ; https://products.narishige-group.com/group1/G-1_1.2_1.5_2_3/pipette/english.html,WPI/Sutter: manifest S14,-
P23,Consumable,Glass capillaries class L: OD 2.0 / ID 1.12,1 pack,"borosilicate, no filament",WPI 1B200-4 (2.0/1.12),Narishige G-2 (series; ID unverified),-,OD 2.0 mm,not found,-,https://wpiinc.com/products/var-1972-standard-glass-capillaries-2mm-od ; https://www.wpiinc.com/clientuploads/pdf/catalog/pages/capillaryglass.pdf,manifest S14,-
P24,Consumable,Glass capillaries class L': thin wall OD 2.00 / ID 1.56,1 pack,"borosilicate, no filament, for 0.8-1 mm objects","Sutter B200-156-10 (2.00/1.56, 10 cm, thin wall, no filament)","WPI thin-wall 2.00/1.56 no filament (10 cm, 250/pk; 15 cm, 100/pk) - likely TW200-4; exact PN to confirm on WPI site",-,"OD 2.00, ID 1.56",not found,-,https://www.fishersci.com/shop/products/bor-glass-tubing-225-pk/NC9051667 ; https://www.sutter.com/micropipette/glass-0-0 ; https://wpiinc.com/products/var-3709-thin-wall-glass-capillaries ; https://wpiinc.com/products/var-tw100-3-thin-wall-glass-capillaries-no-filament,Sutter PN: excerpt; WPI PN UNVERIFIED,Japan availability via WPI/Sutter distributors unverified (open item in doc 08).
P25,Fluidics,"PTFE/FEP tubing 1/16"" OD",1 roll (~3 m used),"1/16"" OD, bore 0.030"" (0.75 mm) class, liquid-filled, bend radius >=25 mm","IDEX Health & Science FEP tubing 1/16"" OD x 0.030"" ID, natural, 50 ft: 1520L","IDEX FEP 1/16"" OD other bores (0.020"" / 0.040""; family 152x, configure)","Japanese PTFE/FEP 1/16"" tubing (e.g. Flon Industry / Nichias; series, unverified)","FEP, low-pressure fluidics, 1/16"" OD",not found,-,https://www.idex-hs.com/store/product-detail/fep_tubing_1_16_od_x_030_id_natural_50ft/1520l ; https://www.idex-hs.com/store/fluidics/fluidic-connections/tubing/fluoropolymer-tubing/teflonr-fep-tubing.html,1520L verified (IDEX store),FEP is more transparent than PTFE (bubble check). Minimum bend radius of 1520L unverified.
P26,Fluidics,"Fittings 1/4-28 flat-bottom for 1/16"" tubing (+ferrules, unions)",1 kit,"PEEK flangeless, finger-tight","IDEX XP-235X flangeless fitting, short, PEEK, 1/4-28 FB, 1/16"" (10/pk)","IDEX flangeless ferrule blue ETFE 1/16"" 1/4-28 FB (10/pk; PN P-200X - unverified in this session)",IDEX PEEK unions 1/4-28 (series; configure),"1/4-28 flat-bottom standard, low-pressure",XP-235X USD 62.23 (IDEX US store; per 10-pack as listed),approx; USD,https://www.idex-hs.com/store/product-detail/flangeless_fitting_short_peek_1_4_28_flat_bottom_for_1_16_od_natural_10_pack/xp-235x ; https://www.coleparmer.com/i/idex-flangeless-ferrule-blue-etfe-1-16-od-tubing-1-4-28-flat-bottom-10-pk/0193930,XP-235X verified; ferrule PN unverified,Holder side port should be designed as a 1/4-28 flat-bottom port -> no adapter needed.
P27,Fluidics,Pump interface: Luer to 1/4-28 adapter (Harvard) / direct 1/4-28 (Tecan Cavro),1-2,"connect syringe (Luer) or pump valve port to 1/16"" tubing","IDEX Luer adapters, female Luer to 1/4-28 (series; exact PN to configure on IDEX site)",Tecan Cavro valve ports accept 1/4-28 fittings directly (to confirm per pump model),-,-,not found,-,https://www.idex-hs.com/store/products/fluidics/fluidic_connections/connectors/luer_adapters ; https://scipro.com/idex-fluidics-connectors-luer-adapters/,series only,Depends on M17 (actual pump model).
P28,Electronics,"Motion controller (G-code / serial, >=3 axes, >=6 NC inputs)",1,"PC-accessible; SPI to TMC5160; homing, soft limits","Duet3D Duet 3 Mainboard 6HC (6 on-board TMC5160 drivers, 6.3 A peak, 9 IO ports, RepRapFirmware, USB/Ethernet)",BIGTREETECH Octopus Pro (STM32H723) + TMC5160T Pro drivers (Marlin/Klipper),"ADI Trinamic TMCM-3110 (3-axis, 9-52 V, up to 4 A/axis, USB/RS485/CAN, TMCL) or TMCM-3216 (3-axis, 2 A RMS, 10-30 V)",see item,"Duet 6HC ~USD 231 (retailer, sold out) ; AliExpress listing USD 154 (clone risk)",approx; USD,https://docs.duet3d.com/Duet3D_hardware/Duet_3_family/Duet_3_Mainboard_6HC_Hardware_Overview ; https://www.duet3d.com/duet3mainboard6hc ; https://www.analog.com/en/products/tmcm-3216.html ; https://www.trinamic.com/products/modules/details/tmcm-3110/ ; https://www.mouser.com/new/trinamic/trinamic-tmcm-3110-stepper-motor-drivers/,Duet driver type verified (Duet docs + forum); Trinamic specs: excerpts,"Lean Duet 3 6HC: TMC5160 on board (no separate drivers), well documented, G-code like SpheroidPicker. Buy genuine (Duet3D resellers) - avoid clones. TMCM-3110 is the industrial option but TMC5130-class drivers and TMCL, not G-code."
P29,Electronics,TMC5160 stepper drivers (only if controller has sockets),3 (+1 spare),"SPI, external MOSFETs, 24 V, 1.5-2 A","BIGTREETECH TMC5160T Pro V1.0 (up to 56 V, SPI)","BIGTREETECH EZ5160 Pro (8-48 V, 2.5 A RMS / 3 A peak, SPI, EZ socket)",Not needed with Duet 3 6HC (on-board),see item,TMC5160T Pro: USD 133.19 per 4-pack (Amazon),approx; USD,https://biqu.equipment/products/tmc5160-pro-v1-0 ; https://www.amazon.com/BIGTREETECH-TMC5160-Stepper-Drivers-heatsink/dp/B0B8HZXWPP ; https://dfh.fm/products/btt-ez5160-pro-stepper-motor-driver,"excerpt, one source each",-
P30,Electronics,"Home switches, NC / fail-safe (X out, Y front, Z top) + optional far limits",3 (+3 optional),NC or fail-safe output; repeatable,"Omron EE-SX672 / EE-SX674 slot photomicrosensor (5-24 V, NPN, Light-ON/Dark-ON selectable, 5 mm slot)","Panasonic PM-T45 / PM-L25 (6 mm slot, NPN, Light-ON & Dark-ON outputs, 5-24 V)","Omron D2F-01L (ultra-subminiature, SPDT, use NC) or D2VW-5-1HS (sealed, SPDT)",optical: 1 kHz response (EE-SX67x); D2VW price USD 3.58-5.45,D2VW-5-1HS USD 3.6-5.5 ; optical: not found,approx; USD,https://www.ia.omron.com/product/item/2224/ ; https://datasheet.octopart.com/EE-SX672-Omron-datasheet-134124.pdf ; https://industry.panasonic.com/global/en/products/fasys/sensor/micro/number/pm-t45 ; https://industry.panasonic.com/global/en/products/fasys/sensor/micro/number/pm-l25 ; https://omronfs.omron.com/en_US/ecb/products/pdf/en-d2f.pdf ; https://octopart.com/d2vw-5-1hs-omron-47505,verified (multiple distributors),"Optical sensors give better repeatability than micro switches (unverified numbers). Wire so that a broken cable reads 'triggered' (fail-safe). THK/MISUMI offer sensor rail kits for their actuators (not researched). | Wiring: use the sensor output so that a broken wire or unpowered sensor reads as ""triggered"" (fail-safe); D2VW micro-switch pricing belongs to candidate 2 only."
P31,Electronics,24 V DC PSU (~150 W),1,"24 V, >=6 A, fused","Mean Well LRS-150-24 (24 V 6.5 A, 156 W, enclosed, 30 mm low profile)","Mean Well SDR-120-24 (24 V 5 A, 120 W, DIN rail, PFC)",-,see item,not found (JPY); widely stocked,-,https://www.mouser.com/ProductDetail/MEAN-WELL/LRS-150-24?qs=vDxCgdWo2h%2Bym5KOpEI%2Bpw%3D%3D ; https://us.rs-online.com/product/mean-well/lrs-150-24/70696543/ ; https://powersupplymall.com/products/mean-well-sdr-120-24-single-output-industrial-power-supply-120w-24v-din-rail,verified (several distributors),SDR-120-24 if everything goes on a DIN rail with the safety relay.
P32,Safety,E-stop push button (2NC),1,2 NC contacts for dual-channel safety relay,"IDEC XW1E-BV402M-R (40 mm push-lock/pull, 2NC, 22 mm hole)","IDEC XA1E-BV3U02R (16 mm, 2NC, IP65)",-,"2NC, IP65",not found,-,https://us.rs-online.com/product/idec-corporation/xw1e-bv402m-r/70172752/ ; https://www.newark.com/idec/xa1e-bv3u02-r/switch-emergency-stop-2nc-250vac/dp/05R0253 ; https://www.tme.com/us/en-us/details/xa1e-bv3u02r/panel-mount-switches-standard-16mm/idec/,verified,IDEC is Japanese -> easy to buy locally. Put in a small enclosure (e.g. IDEC/Takachi box).
P33,Safety,Safety relay / contactor cutting motor 24 V (logic stays on),1,"dual-channel E-stop, cuts driver VM only","Omron G9SE-201 (24 VDC, 2 safety NO + 1 aux, Cat.4/PLe, 17.5 mm DIN)","IDEC HR6S-AF1C safety relay module (Cat.4, push-in)",Force-guided relay / small contactor downstream if G9SE contact DC rating is insufficient (e.g. Omron G7SA series - unverified),Cat.4 PLe (G9SE),IDEC HR6S-AF1C USD 357 ; G9SE: not found,approx; USD,https://www.ia.omron.com/products/family/3419/ ; https://www.digikey.com/en/products/detail/omron-automation-and-safety/G9SE-201/7495167 ; https://automation.omron.com/en/us/products/family/G9SE,G9SE verified; DC switching rating at driver inrush UNVERIFIED,"Put the cut between PSU and driver VM with bulk-cap pre-charge considered; check TMC5160 board tolerates VM removal while logic on (Duet: yes per design, verify)."
